onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
12.6727	0.2694	pretest	1	0.0	n/a	0.22384999999999844	1	1
17.2561	0.236	pretest	2	0.0	n/a	0.18327999999999953	1	1
21.0729	0.236	pretest	3	0.0	n/a	0.18958999999999945	1	1
24.1229	0.3027	pretest	4	0.0	n/a	0.25874999999999904	1	1
28.0563	0.536	pretest	5	0.0	n/a	0.4843000000000004	1	1
32.0231	0.2526	pretest	6	0.0	n/a	0.2125600000000007	1	1
35.6898	0.2193	pretest	7	0.0	n/a	0.160910000000004	1	1
38.8898	0.236	pretest	8	0.0	n/a	0.1921399999999969	1	1
43.7732	0.236	pretest	9	0.0	n/a	0.1875399999999969	1	1
46.8733	0.3693	pretest	10	0.0	n/a	0.31863999999999687	1	1
49.99	0.3526	pretest	11	0.0	n/a	0.3052299999999969	1	1
53.5734	0.2693	pretest	12	0.0	n/a	0.22484000000000065	1	1
56.6734	0.386	pretest	13	0.0	n/a	0.34000999999999687	1	1
59.8901	0.2193	pretest	14	0.0	n/a	0.17849000000000498	1	1
64.2235	0.236	pretest	15	0.0	n/a	0.1800899999999969	1	1
68.8569	0.3027	pretest	16	0.0	n/a	0.24945000000001105	1	1
71.707	0.3193	pretest	17	0.0	n/a	0.27864000000000777	1	1
74.657	0.4027	pretest	18	0.0	n/a	0.3518100000000078	1	1
78.1737	0.2527	pretest	19	0.0	n/a	0.2103799999999969	1	1
82.0905	0.2526	pretest	20	0.0	n/a	0.21240999999999358	1	1
86.4239	0.2859	pretest	21	0.0	n/a	0.22993999999999687	1	1
90.0739	0.236	pretest	22	0.0	n/a	0.1951000000000078	1	1
93.8073	0.2693	pretest	23	0.0	n/a	0.22079000000000776	1	1
98.324	0.2527	pretest	24	0.0	n/a	0.19883999999999688	1	1
102.7741	0.2193	pretest	25	0.0	n/a	0.16373999999999356	1	1
105.8242	0.336	pretest	26	0.0	n/a	0.28086999999999357	1	1
108.8909	0.4026	pretest	27	0.0	n/a	0.3492099999999936	1	1
112.5409	0.486	pretest	28	0.0	n/a	0.4423700000000078	1	1
116.041	0.4526	pretest	29	0.0	n/a	0.39741000000000776	1	1
120.0744	0.2526	pretest	30	0.0	n/a	0.20307000000000777	1	1
158.0083	0.2359	stimulation	1	13.0	0.18092999999999687	0.1796200000000111	1	0
165.6584	0.2193	stimulation	2	13.0	0.13952999999998678	0.1756500000000111	0	1
172.0918	0.2693	stimulation	3	13.0	0.222029999999997	0.22062999999998267	1	0
179.8253	0.2193	stimulation	4	13.0	0.11443000000000618	0.16512000000000776	0	1
184.9254	0.3859	stimulation	5	13.0	0.13743000000000233	0.3436300000000078	0	1
190.7421	0.2026	stimulation	6	13.0	0.1255300000000052	0.1574700000000111	0	1
200.9756	0.336	stimulation	7	13.0	0.13553000000002452	0.2894600000000192	0	0
208.5091	0.1859	stimulation	8	13.0	0.08633000000001127	0.1301000000000078	0	1
214.3091	0.3693	stimulation	9	13.0	0.1565300000000111	0.3285400000000111	0	0
219.4259	0.2693	stimulation	10	13.0	0.11853000000000018	0.21849999999998265	0	0
223.3593	0.2526	stimulation	11	13.0	0.1524300000000171	0.2040300000000111	0	1
228.7594	0.2526	stimulation	12	13.0	0.1034300000000105	0.21059000000000777	0	0
232.3594	1.8193	stimulation	13	13.0	0.15053000000001088	1.7774300000000112	0	1
243.8929	0.1859	stimulation	14	13.0	0.10542999999999163	0.1453100000000111	0	1
249.1763	0.3693	stimulation	15	13.0	0.18553000000000747	0.3166100000000111	0	0
253.3931	0.2192	stimulation	16	13.0	0.12142999999998276	0.17882999999998267	0	0
258.7765	1.1193	stimulation	17	13.0	0.15743000000001256	1.0657699999999792	0	1
276.1767	0.2193	stimulation	18	13.0	0.09342999999999117	0.1732700000000111	0	0
283.0768	1.2193	stimulation	19	13.0	0.1565300000000111	1.1752400000000112	0	1
290.9603	0.3859	stimulation	20	13.0	0.15742999999995572	0.3299999999999543	0	1
297.1437	1.1027	stimulation	21	13.0	0.10252999999998062	1.0569899999999859	0	1
308.0106	0.1859	stimulation	22	13.0	0.09732999999997853	0.13945999999997935	0	1
312.0439	0.9027	stimulation	23	13.0	0.09853000000001837	0.8569700000000111	0	0
319.4941	0.2359	stimulation	24	13.0	0.13942999999998346	0.18905999999997938	0	1
323.3608	0.2026	stimulation	25	13.0	0.10042999999999618	0.1614600000000443	0	1
327.6942	0.3026	stimulation	26	13.0	0.08642999999998617	0.2589599999999543	0	1
333.1609	0.236	stimulation	27	13.0	0.10652999999999972	0.18276999999995425	0	0
339.7444	0.2359	stimulation	28	13.0	0.10333000000000718	0.1895800000000362	0	1
345.5445	0.2026	stimulation	29	13.0	0.08442999999997662	0.14799999999997937	0	0
351.2945	0.186	stimulation	30	13.0	0.08142999999999072	0.14063999999995425	0	0
355.6946	0.2026	stimulation	31	13.0	0.09643000000003392	0.1554900000000111	0	0
360.4947	0.2026	stimulation	32	13.0	0.09932999999998808	0.15416999999997935	0	1
365.6114	0.3026	stimulation	33	13.0	0.1354300000000212	0.25205999999997936	0	1
370.2615	0.2193	stimulation	34	13.0	0.11972999999998317	0.1768799999999941	0	0
374.9616	0.2025	stimulation	35	13.0	0.10933000000003583	0.14756000000003622	0	1
380.0783	0.2026	stimulation	36	13.0	0.10443000000001527	0.1495600000000111	0	1
384.395	0.2693	stimulation	37	13.0	0.10943000000001073	0.2158600000000111	0	0
388.4118	0.9693	stimulation	38	13.0	0.128629999999966	0.917809999999994	0	1
393.4785	0.2359	stimulation	39	13.0	0.1254300000000303	0.1860800000000111	0	0
398.2619	0.1859	stimulation	40	13.0	0.07822999999999818	0.13730999999997937	0	0
403.6786	0.236	stimulation	41	13.0	0.07343000000000936	0.19122000000001108	0	0
408.6121	0.3192	stimulation	42	13.0	0.09743000000001027	0.26462000000001107	0	0
412.6954	0.2527	stimulation	43	13.0	0.08653000000001791	0.212289999999986	0	0
417.8455	0.2526	stimulation	44	13.0	0.13642999999999755	0.1969000000000111	0	1
421.4622	0.2193	stimulation	45	13.0	0.10853000000000927	0.179269999999986	0	0
425.0623	0.2193	stimulation	46	13.0	0.1285299999999911	0.1781800000000111	0	1
429.679	0.2193	stimulation	47	13.0	0.10943000000001073	0.1683200000000111	0	0
434.9958	0.2192	stimulation	48	13.0	0.11543000000003938	0.1782200000000362	0	0
439.7125	0.236	stimulation	49	13.0	0.1335300000000434	0.1803500000000111	0	1
443.1959	1.036	stimulation	50	13.0	0.11242999999999663	0.9840500000000112	0	1
449.0293	0.2026	stimulation	51	13.0	0.09973000000000136	0.15714000000004946	0	0
454.5461	0.3359	stimulation	52	13.0	0.1403299999999849	0.2869799999999793	0	0
459.4295	0.2026	stimulation	53	13.0	0.10243000000000572	0.15440999999995428	0	0
464.0296	0.2192	stimulation	54	13.0	0.12123000000000454	0.17704999999997936	0	0
468.863	0.2193	stimulation	55	13.0	0.11663000000002237	0.174399999999986	0	0
472.8297	0.2526	stimulation	56	13.0	0.14453000000001065	0.2068400000000111	0	1
477.6131	0.2526	stimulation	57	13.0	0.09743000000001027	0.2061300000000111	0	0
483.0132	0.2859	stimulation	58	13.0	0.1394300000000403	0.2447300000000443	0	1
487.3299	0.2193	stimulation	59	13.0	0.13762999999998055	0.1668600000000111	0	1
491.0133	0.2026	stimulation	60	13.0	0.12132999999997944	0.14646999999997937	0	1
494.6634	0.1859	stimulation	61	13.0	0.12532999999999855	0.14354999999997936	0	1
498.2968	0.1859	stimulation	62	13.0	0.10752999999997608	0.14116999999997937	0	1
503.2968	0.2026	stimulation	63	13.0	0.10842999999997753	0.14794999999995426	0	1
506.8969	0.2192	stimulation	64	13.0	0.12143000000001118	0.16306000000001108	0	1
510.2803	0.2026	stimulation	65	13.0	0.11132999999998854	0.15461999999997936	0	1
515.7137	0.1859	stimulation	66	13.0	0.11152999999993833	0.1440300000000111	0	1
519.8138	0.1859	stimulation	67	13.0	0.10632999999999308	0.1387400000000362	0	1
524.5805	0.2026	stimulation	68	13.0	0.13343000000001165	0.15493999999992253	0	1
528.4639	0.2026	stimulation	69	13.0	0.10632999999999308	0.1585500000000362	0	1
532.6806	0.2026	stimulation	70	13.0	0.10443000000001527	0.14873999999992252	0	1
538.5307	0.2026	stimulation	71	13.0	0.1304299999999689	0.1532700000000111	0	1
542.2808	0.2192	stimulation	72	13.0	0.11833000000005038	0.1781800000000362	0	0
546.3808	0.2026	stimulation	73	13.0	0.10542999999999163	0.1571800000000111	0	0
551.3975	0.2193	stimulation	74	13.0	0.16153000000000656	0.179139999999986	0	1
555.6976	0.236	stimulation	75	13.0	0.10943000000001073	0.1820300000000111	0	0
559.9643	0.2193	stimulation	76	13.0	0.11353000000000472	0.17017000000001112	0	0
564.8811	0.2026	stimulation	77	13.0	0.11433000000003128	0.1482300000000111	0	1
568.9978	0.2026	stimulation	78	13.0	0.1264300000000635	0.1583300000000362	0	1
573.9812	0.2026	stimulation	79	13.0	0.10843000000003437	0.1498000000000111	0	1
578.9313	0.2026	stimulation	80	13.0	0.11542999999998253	0.1584600000000111	0	1
583.198	0.2193	stimulation	81	13.0	0.11053000000007566	0.1626600000000111	0	0
587.1981	0.2026	stimulation	82	13.0	0.10553000000008021	0.1615200000000111	0	0
591.8482	0.1859	stimulation	83	13.0	0.09043000000000527	0.1343700000000111	0	1
595.3982	0.2026	stimulation	84	13.0	0.08943000000002892	0.1513300000000111	0	0
600.1983	0.2026	stimulation	85	13.0	0.10242999999994888	0.14997999999998746	0	0
604.865	0.2026	stimulation	86	13.0	0.10353000000001382	0.1542600000000111	0	1
