onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
19.3012	0.5359	pretest	1	0.0	n/a	0.4824899999999971	1	1
22.2179	0.5859	pretest	2	0.0	n/a	0.5409300000000007	1	1
25.2012	0.9527	pretest	3	0.0	n/a	0.9008600000000004	1	1
30.268	0.4026	pretest	4	0.0	n/a	0.36095000000000044	1	1
34.1514	0.536	pretest	5	0.0	n/a	0.49256999999999684	1	1
38.5515	0.1359	pretest	6	0.0	n/a	0.09137000000000067	1	1
44.1015	0.3027	pretest	7	0.0	n/a	0.2520199999999969	1	1
46.8849	0.3693	pretest	8	0.0	n/a	0.3158999999999969	1	1
50.3183	0.0359	pretest	9	0.0	n/a	-0.014399999999999955	1	1
55.4184	0.3526	pretest	10	0.0	n/a	0.30811000000000255	1	1
59.5851	0.1193	pretest	11	0.0	n/a	0.07646000000000398	1	1
63.6018	0.019	pretest	12	0.0	n/a	-0.02116999999999601	1	1
68.4686	2.2193	pretest	13	0.0	n/a	2.1661700000000077	1	1
73.6353	0.1193	pretest	14	0.0	n/a	0.0707999999999969	1	1
78.4187	0.2026	pretest	15	0.0	n/a	0.15010999999999688	1	1
82.6855	2.2693	pretest	16	0.0	n/a	2.2177799999999936	1	1
88.8355	0.019	pretest	17	0.0	n/a	-0.029220000000003115	1	1
92.6023	0.3859	pretest	18	0.0	n/a	0.3309400000000035	1	1
95.6523	0.0359	pretest	19	0.0	n/a	-0.015819999999992222	1	1
101.7191	0.2859	pretest	20	0.0	n/a	0.23585000000000778	1	1
105.6358	0.0859	pretest	21	0.0	n/a	0.03014999999999357	1	1
112.5359	0.6693	pretest	22	0.0	n/a	0.6163100000000078	1	1
115.8693	0.0189	pretest	23	0.0	n/a	-0.029849999999992223	1	1
121.3027	0.2859	pretest	24	0.0	n/a	0.23125999999999358	1	1
125.0527	0.1193	pretest	25	0.0	n/a	0.06443999999999689	1	1
132.0529	0.4359	pretest	26	0.0	n/a	0.3902400000000078	1	1
135.5196	0.0189	pretest	27	0.0	n/a	-0.021069999999992223	1	1
144.9364	0.4193	pretest	28	0.0	n/a	0.36759000000000774	1	1
148.1698	0.0526	pretest	29	0.0	n/a	-0.0024200000000206452	1	1
153.1865	0.3526	pretest	30	0.0	n/a	0.3075200000000111	1	1
178.8702	0.2193	stimulation	1	5.0	0.11452999999998108	0.1691999999999827	0	0
189.5371	0.2192	stimulation	2	5.0	0.17322999999999705	0.17187999999998269	1	1
204.054	0.2359	stimulation	3	5.0	0.18053000000001201	0.1792200000000078	1	1
213.2374	0.236	stimulation	4	5.0	0.13153000000000542	0.19345999999998267	0	0
225.721	0.3026	stimulation	5	5.0	0.2359300000000037	0.23462000000000782	1	1
238.5711	0.2193	stimulation	6	5.0	0.11072999999999704	0.1654299999999974	0	0
248.6546	0.2359	stimulation	7	5.0	0.13943000000001188	0.1913600000000111	0	1
261.9715	0.2026	stimulation	8	5.0	0.10943000000001073	0.15105000000003618	0	0
270.9383	0.2359	stimulation	9	5.0	0.1444299999999789	0.19006999999995428	0	0
281.9718	0.2026	stimulation	10	5.0	0.1294300000000494	0.16172000000003622	0	1
293.972	0.2026	stimulation	11	5.0	0.11643000000001573	0.1585500000000111	0	0
305.8221	0.3027	stimulation	12	5.0	0.20763000000003057	0.25752000000001113	0	0
312.9056	0.2026	stimulation	13	5.0	0.149629999999981	0.1483200000000111	1	1
322.4057	0.3026	stimulation	14	5.0	0.21142999999998618	0.26168999999995424	0	0
333.0559	0.2192	stimulation	15	5.0	0.15423000000002002	0.1528600000000111	1	1
340.3727	0.2026	stimulation	16	5.0	0.12942999999999255	0.1621800000000111	0	1
349.7728	0.2526	stimulation	17	5.0	0.15453000000000156	0.19975999999995425	0	0
358.0063	0.3026	stimulation	18	5.0	0.18553000000000747	0.2521100000000111	0	0
364.923	0.2693	stimulation	19	5.0	0.1617300000000132	0.213719999999986	0	0
372.1732	0.1859	stimulation	20	5.0	0.14703000000000838	0.1456900000000111	1	1
383.9233	0.2193	stimulation	21	5.0	0.13863000000001374	0.16856000000004284	0	1
393.3235	0.3192	stimulation	22	5.0	0.23052999999996654	0.27002999999997934	0	0
400.7236	0.2192	stimulation	23	5.0	0.1495300000000061	0.14821000000004284	1	1
408.2403	0.2693	stimulation	24	5.0	0.17452999999998337	0.21351999999998744	0	0
412.8071	0.2526	stimulation	25	5.0	0.16153000000000656	0.2055500000000362	0	0
420.0739	0.3026	stimulation	26	5.0	0.21053000000004157	0.2489500000000362	0	1
427.4573	0.2359	stimulation	27	5.0	0.1495300000000061	0.1916800000000111	0	0
433.5574	0.2693	stimulation	28	5.0	0.15963000000002875	0.21806000000004283	0	0
439.5908	0.2193	stimulation	29	5.0	0.16842999999997982	0.1670700000000111	1	1
447.7076	0.2193	stimulation	30	5.0	0.1655299999999688	0.1763300000000111	0	1
455.4577	0.236	stimulation	31	5.0	0.1716300000000292	0.1842000000000111	0	1
469.2413	0.2025	stimulation	32	5.0	0.11242999999999663	0.15716999999995426	0	0
474.2747	0.2359	stimulation	33	5.0	0.15752999999998746	0.19456000000001109	0	0
478.4914	0.2359	stimulation	34	5.0	0.1700299999999761	0.1687300000000111	1	1
485.6082	0.2859	stimulation	35	5.0	0.19552999999999837	0.23414000000001106	0	1
493.6083	0.2693	stimulation	36	5.0	0.1746300000000151	0.2160100000000111	0	0
500.5751	0.2692	stimulation	37	5.0	0.1695299999999879	0.22348999999995428	0	0
510.7419	0.2026	stimulation	38	5.0	0.1395300000000152	0.150149999999986	0	1
517.6087	0.2192	stimulation	39	5.0	0.14752999999999655	0.1775300000000111	0	1
527.0755	0.2692	stimulation	40	5.0	0.18952999999991288	0.22840000000001115	0	0
535.9756	0.2526	stimulation	41	5.0	0.15352999999996836	0.2060100000000111	0	0
542.0091	0.2859	stimulation	42	5.0	0.22033000000002584	0.21901000000001108	1	1
549.1592	0.2192	stimulation	43	5.0	0.1726299999999487	0.17118999999992252	1	1
554.6259	0.2526	stimulation	44	5.0	0.1545299999999447	0.2070400000000111	0	0
561.1593	0.2859	stimulation	45	5.0	0.18662999999995872	0.232049999999986	0	0
566.9761	0.2859	stimulation	46	5.0	0.20052999999999382	0.23771000000001113	0	1
573.2262	0.2026	stimulation	47	5.0	0.16343000000009805	0.1621600000000111	1	1
579.9596	0.2026	stimulation	48	5.0	0.1483300000000231	0.1470400000000111	1	1
588.6598	0.2025	stimulation	49	5.0	0.13402999999997472	0.1326700000000362	1	1
595.5265	0.2193	stimulation	50	5.0	0.17452999999992652	0.17615999999989743	0	1
600.9266	0.2526	stimulation	51	5.0	0.15042999999995071	0.1987400000000111	0	0
607.5434	0.2359	stimulation	52	5.0	0.1384300000000071	0.18832000000001112	0	0
615.3268	0.2693	stimulation	53	5.0	0.18262999999993962	0.2268899999998974	0	0
623.3269	0.286	stimulation	54	5.0	0.19072999999995272	0.24087999999993576	0	0
629.5104	0.2692	stimulation	55	5.0	0.21052999999998473	0.2157000000000111	0	1
640.7772	0.2359	stimulation	56	5.0	0.1485299999999729	0.1940900000000111	0	0
648.194	0.2192	stimulation	57	5.0	0.1527300000000555	0.15145000000005093	1	1
653.1941	0.3026	stimulation	58	5.0	0.2052299999999509	0.2540399999999491	0	0
658.0941	0.2693	stimulation	59	5.0	0.16442999999996072	0.2167800000000111	0	0
666.9276	0.3026	stimulation	60	5.0	0.20663000000005421	0.2611100000000111	0	0
672.661	0.2692	stimulation	61	5.0	0.19143000000000437	0.22216000000010117	0	1
678.8611	0.2693	stimulation	62	5.0	0.18152999999998837	0.228619999999986	0	0
682.8279	0.2692	stimulation	63	5.0	0.19252999999995563	0.22884000000001115	0	0
688.2613	0.2525	stimulation	64	5.0	0.1524300000000171	0.2020500000000362	0	0
693.9613	0.2859	stimulation	65	5.0	0.20862999999989323	0.244549999999986	0	0
701.3115	0.2859	stimulation	66	5.0	0.20453000000001292	0.23637999999992254	0	1
709.1282	0.3026	stimulation	67	5.0	0.21163000000004967	0.2578200000000111	0	0
714.9783	0.3026	stimulation	68	5.0	0.21663000000004512	0.2621600000000111	0	0
719.3617	0.2693	stimulation	69	5.0	0.16942999999995617	0.21388000000001112	0	0
725.8285	0.2192	stimulation	70	5.0	0.1787300000000091	0.1773800000000111	1	1
733.3953	0.2692	stimulation	71	5.0	0.18053000000001201	0.22467000000001108	0	1
740.2621	0.3025	stimulation	72	5.0	0.20482999999993762	0.2520299999999358	0	0
748.7955	0.2859	stimulation	73	5.0	0.21153000000007477	0.2445600000000111	0	0
753.2622	0.2526	stimulation	74	5.0	0.1726299999999487	0.2087500000000111	0	0
759.5123	0.2359	stimulation	75	5.0	0.166530000000002	0.16520000000001112	1	1
764.4124	0.2526	stimulation	76	5.0	0.18152999999998837	0.2078099999998974	0	1
772.5792	0.2526	stimulation	77	5.0	0.19143000000000437	0.1989800000000362	0	1
777.8293	0.2526	stimulation	78	5.0	0.18053000000001201	0.2114600000000111	0	0
783.396	0.2026	stimulation	79	5.0	0.1487300000000364	0.1473500000000111	1	1
787.6127	0.286	stimulation	80	5.0	0.18602999999999564	0.23351999999999928	0	0
794.1962	0.2692	stimulation	81	5.0	0.1828300000000031	0.20849000000004947	0	1
801.263	0.2192	stimulation	82	5.0	0.16522999999998728	0.1638399999999225	1	1
807.0631	0.2692	stimulation	83	5.0	0.18053000000001201	0.2184200000000111	0	0
813.7965	0.3192	stimulation	84	5.0	0.21453000000000383	0.2671699999999225	0	0
820.5299	0.1859	stimulation	85	5.0	0.14153000000002475	0.1401800000000111	1	1
827.8634	0.2692	stimulation	86	5.0	0.18343000000007986	0.22888000000003622	0	0
835.7135	0.2859	stimulation	87	5.0	0.1825300000000784	0.23270000000001106	0	1
845.247	0.2858	stimulation	88	5.0	0.18353000000005476	0.23284000000001115	0	0
853.6471	0.2525	stimulation	89	5.0	0.16852999999995472	0.1985800000000111	0	1
860.0472	0.2692	stimulation	90	5.0	0.17553000000001656	0.21283000000003618	0	1
