onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
14.0962	0.2512	pretest	1	0.0	n/a	0.20422000000000123	1	1
20.5298	0.2174	pretest	2	0.0	n/a	0.1691799999999997	1	1
27.913	0.2513	pretest	3	0.0	n/a	0.20800999999999922	1	1
35.7131	0.2512	pretest	4	0.0	n/a	0.19802000000000633	1	1
42.0299	0.3513	pretest	5	0.0	n/a	0.311460000000003	1	1
48.9635	0.201	pretest	6	0.0	n/a	0.16039999999999494	1	1
55.1635	0.2511	pretest	7	0.0	n/a	0.19879999999999967	1	1
61.3303	0.201	pretest	8	0.0	n/a	0.15843999999999636	1	1
67.7971	0.2176	pretest	9	0.0	n/a	0.16994999999999635	1	1
75.7638	0.2511	pretest	10	0.0	n/a	0.20127999999999968	1	1
80.8305	0.2345	pretest	11	0.0	n/a	0.1892399999999997	1	1
87.7306	0.3179	pretest	12	0.0	n/a	0.2632699999999997	1	1
94.4807	0.2679	pretest	13	0.0	n/a	0.21569000000000207	1	1
99.9639	0.2682	pretest	14	0.0	n/a	0.21909000000000967	1	1
104.7472	0.2351	pretest	15	0.0	n/a	0.18657999999999877	1	1
111.3136	0.2355	pretest	16	0.0	n/a	0.19451000000001203	1	1
116.2303	0.2523	pretest	17	0.0	n/a	0.20444999999999783	1	1
122.6138	0.2022	pretest	18	0.0	n/a	0.15545999999999782	1	1
127.3305	0.2689	pretest	19	0.0	n/a	0.22147999999999451	1	1
132.8472	0.2023	pretest	20	0.0	n/a	0.15937000000002624	1	1
137.5473	0.2689	pretest	21	0.0	n/a	0.22611999999999782	1	1
141.964	0.2023	pretest	22	0.0	n/a	0.16039999999999782	1	1
148.3641	0.2523	pretest	23	0.0	n/a	0.20666999999999783	1	1
151.9975	0.2523	pretest	24	0.0	n/a	0.20435999999999782	1	1
157.0809	0.219	pretest	25	0.0	n/a	0.1756799999999978	1	1
163.131	0.2189	pretest	26	0.0	n/a	0.17200999999999783	1	1
170.4977	0.2524	pretest	27	0.0	n/a	0.21144000000000113	1	1
177.1312	0.269	pretest	28	0.0	n/a	0.2161899999999978	1	1
182.0146	0.2357	pretest	29	0.0	n/a	0.17969999999999783	1	1
187.5813	0.2357	pretest	30	0.0	n/a	0.17961000000000116	1	1
214.9151	0.269	stimulation	1	16.0	0.19423000000001206	0.21489999999999781	0	0
227.1655	0.252	stimulation	2	16.0	0.16192999999999141	0.2014499999999912	0	1
237.6499	0.2341	stimulation	3	16.0	0.15102999999999905	0.17828999999998973	0	1
247.4166	0.2509	stimulation	4	16.0	0.16013000000001693	0.20119000000002146	0	1
255.9493	3.1687	stimulation	5	16.0	0.1659299999999821	3.1216800000000196	0	0
271.7331	0.2683	stimulation	6	16.0	0.17663000000002466	0.21452000000000965	0	1
280.5161	0.269	stimulation	7	16.0	0.15412999999998828	0.21331999999999782	0	0
289.0162	0.2357	stimulation	8	16.0	0.14412999999999737	0.1910999999999978	0	0
297.583	0.319	stimulation	9	16.0	0.15122999999997727	0.27821999999997277	0	0
308.5665	0.2357	stimulation	10	16.0	0.18932999999996308	0.18788999999999784	1	1
316.3499	0.2858	stimulation	11	16.0	0.10733000000002628	0.24265000000000447	0	0
325.2501	0.219	stimulation	12	16.0	0.129130000000011	0.17220999999999784	0	1
333.6002	0.2357	stimulation	13	16.0	0.14613000000000692	0.1880000000000059	0	1
342.0838	0.3022	stimulation	14	16.0	0.13793000000001893	0.2462000000000229	0	0
353.0672	0.2357	stimulation	15	16.0	0.15012999999996918	0.1880699999999727	0	1
360.1006	0.219	stimulation	16	16.0	0.16123000000002502	0.17685000000002957	0	1
368.4174	0.219	stimulation	17	16.0	0.14122999999998637	0.17808000000002958	0	0
377.3176	0.269	stimulation	18	16.0	0.13712999999999237	0.21946999999999783	0	0
385.1677	0.2689	stimulation	19	16.0	0.15712999999997418	0.22356999999997273	0	0
397.0012	0.219	stimulation	20	16.0	0.1295300000000243	0.1630900000000111	0	1
405.068	0.2523	stimulation	21	16.0	0.18012999999999874	0.20605999999999783	0	1
413.0347	0.2524	stimulation	22	16.0	0.15823000000003912	0.20546000000002956	0	1
419.9015	0.2523	stimulation	23	16.0	0.11713000000001055	0.20103000000002957	0	0
428.185	0.269	stimulation	24	16.0	0.17013000000000783	0.2193799999999978	0	0
434.9019	0.2854	stimulation	25	16.0	0.13802999999999382	0.23678999999996608	0	0
444.0019	0.2023	stimulation	26	16.0	0.1220300000000311	0.15851999999999783	0	1
451.5854	0.2356	stimulation	27	16.0	0.19012999999998964	0.1890999999999978	0	1
459.5022	0.2022	stimulation	28	16.0	0.11202999999998335	0.1583099999999978	0	0
467.5189	0.2523	stimulation	29	16.0	0.15553000000003475	0.2035700000000111	0	1
477.219	0.2357	stimulation	30	16.0	0.1313300000000272	0.18098000000002956	0	0
484.9858	0.2024	stimulation	31	16.0	0.12323000000001409	0.15616000000002955	0	1
492.8859	0.2357	stimulation	32	16.0	0.14822999999999137	0.19025000000002956	0	0
501.2861	0.219	stimulation	33	16.0	0.13413000000000647	0.17185999999999782	0	1
512.6029	0.2524	stimulation	34	16.0	0.16923000000000638	0.19623999999997274	0	1
522.003	0.2023	stimulation	35	16.0	0.14422999999991543	0.15379999999994762	0	1
531.0367	0.2355	stimulation	36	16.0	0.16932999999998127	0.17377999999994762	0	1
540.7535	0.2355	stimulation	37	16.0	0.14802999999998473	0.18263999999999783	0	1
549.4035	0.3357	stimulation	38	16.0	0.14812999999995963	0.2823399999999978	0	0
558.7536	0.2357	stimulation	39	16.0	0.14122999999998637	0.19380999999997273	0	0
567.8538	0.219	stimulation	40	16.0	0.15612999999999783	0.16347999999999782	0	1
576.6372	0.2357	stimulation	41	16.0	0.15423000000002002	0.19386999999997273	0	1
585.704	0.3691	stimulation	42	16.0	0.1522300000000673	0.32483000000006135	0	0
