onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
11.6532	0.2859	pretest	1	0.0	n/a	0.24357000000000045	1	1
15.2032	0.236	pretest	2	0.0	n/a	0.18072999999999845	1	1
19.4366	0.2527	pretest	3	0.0	n/a	0.20220000000000043	1	1
23.27	0.236	pretest	4	0.0	n/a	0.19185000000000046	1	1
26.82	0.2194	pretest	5	0.0	n/a	0.17698000000000022	1	1
31.3201	0.3193	pretest	6	0.0	n/a	0.26771000000000045	1	1
35.6202	0.2693	pretest	7	0.0	n/a	0.22251000000000398	1	1
39.2536	0.2526	pretest	8	0.0	n/a	0.204240000000004	1	1
43.6536	0.236	pretest	9	0.0	n/a	0.18714000000000022	1	1
47.437	0.2193	pretest	10	0.0	n/a	0.1788300000000002	1	1
51.5204	0.2193	pretest	11	0.0	n/a	0.1743800000000002	1	1
55.7538	0.2193	pretest	12	0.0	n/a	0.1639800000000002	1	1
59.3205	0.2194	pretest	13	0.0	n/a	0.1642300000000002	1	1
62.3373	0.2026	pretest	14	0.0	n/a	0.154720000000004	1	1
66.9873	0.3027	pretest	15	0.0	n/a	0.2555900000000002	1	1
73.9874	0.236	pretest	16	0.0	n/a	0.18175000000000022	1	1
78.2375	0.2693	pretest	17	0.0	n/a	0.2184799999999969	1	1
81.9709	0.236	pretest	18	0.0	n/a	0.19621999999999687	1	1
84.7876	0.2026	pretest	19	0.0	n/a	0.16289000000000023	1	1
88.021	0.236	pretest	20	0.0	n/a	0.19258999999999687	1	1
91.4544	0.2693	pretest	21	0.0	n/a	0.2142899999999969	1	1
96.3211	0.2026	pretest	22	0.0	n/a	0.16242000000000023	1	1
101.3378	0.536	pretest	23	0.0	n/a	0.4884200000000002	1	1
106.0379	0.2526	pretest	24	0.0	n/a	0.2032000000000002	1	1
109.338	0.2693	pretest	25	0.0	n/a	0.2142000000000111	1	1
112.8714	0.3193	pretest	26	0.0	n/a	0.26395000000001106	1	1
116.6214	0.2693	pretest	27	0.0	n/a	0.22502000000001116	1	1
120.0048	0.286	pretest	28	0.0	n/a	0.2327899999999969	1	1
123.3715	0.2527	pretest	29	0.0	n/a	0.2091699999999969	1	1
127.0716	0.2693	pretest	30	0.0	n/a	0.2201599999999969	1	1
142.3551	0.2527	stimulation	1	11.0	0.13972999999999342	0.196740000000013	0	0
149.7052	0.2527	stimulation	2	11.0	0.15383000000000674	0.20490000000001773	0	0
156.822	0.3193	stimulation	3	11.0	0.22063000000000738	0.27023000000001113	0	1
161.8388	0.2859	stimulation	4	11.0	0.19953000000001747	0.24424000000001111	0	1
168.4722	0.2359	stimulation	5	11.0	0.15963000000000033	0.18514000000001443	0	1
173.6056	0.286	stimulation	6	11.0	0.20073000000000046	0.2343699999999908	0	1
178.5724	0.2026	stimulation	7	11.0	0.0964300000000055	0.14641000000001111	0	1
184.2558	0.2359	stimulation	8	11.0	0.14563000000001874	0.1894700000000111	0	1
188.5892	0.2026	stimulation	9	11.0	0.1035299999999854	0.159149999999986	0	1
193.3892	0.2193	stimulation	10	11.0	0.12763000000001806	0.17390000000001443	0	1
199.256	0.186	stimulation	11	11.0	0.08062999999999258	0.129619999999986	0	0
205.5394	0.2193	stimulation	12	11.0	0.1256300000000085	0.1646200000000111	0	0
211.8229	0.2026	stimulation	13	11.0	0.10442999999998685	0.15143999999998267	0	0
216.4896	0.2026	stimulation	14	11.0	0.11553000000001427	0.15571000000001442	0	0
221.773	0.2193	stimulation	15	11.0	0.1175299999999954	0.1668800000000144	0	0
226.6731	0.2026	stimulation	16	11.0	0.12142999999998276	0.16165999999998268	0	0
231.8065	0.236	stimulation	17	11.0	0.14853000000000133	0.1949600000000111	0	0
237.3566	0.2193	stimulation	18	11.0	0.12353000000002405	0.1634200000000111	0	0
242.54	0.2193	stimulation	19	11.0	0.1336300000000183	0.17870000000001443	0	0
248.0234	0.2693	stimulation	20	11.0	0.16162999999998146	0.21400999999998602	0	0
253.4568	0.236	stimulation	21	11.0	0.14593000000000028	0.18718000000002438	0	0
257.9569	0.2859	stimulation	22	11.0	0.17443000000000847	0.23000999999995425	0	0
263.9236	0.286	stimulation	23	11.0	0.1737299999999568	0.22974999999998602	0	0
269.3904	0.2193	stimulation	24	11.0	0.12652999999998155	0.16956999999998598	0	0
274.0905	0.2693	stimulation	25	11.0	0.17052999999996427	0.220339999999986	0	0
279.2072	0.286	stimulation	26	11.0	0.18953000000002657	0.23836999999998604	0	0
284.474	0.2526	stimulation	27	11.0	0.1466299999999951	0.202169999999986	0	0
288.874	0.2693	stimulation	28	11.0	0.20253000000000337	0.201219999999986	1	1
294.5908	0.2193	stimulation	29	11.0	0.18033000000000537	0.17891000000001112	1	1
300.0742	0.2359	stimulation	30	11.0	0.18342999999996618	0.182159999999986	1	1
305.8243	0.2193	stimulation	31	11.0	0.1746300000000151	0.174559999999986	0	1
310.7077	0.2526	stimulation	32	11.0	0.173530000000007	0.202009999999986	0	1
318.8245	0.2193	stimulation	33	11.0	0.16432999999998582	0.1629600000000111	1	1
323.1079	0.2693	stimulation	34	11.0	0.20853000000003202	0.21460000000001112	0	1
328.9746	0.2527	stimulation	35	11.0	0.1736299999999819	0.202359999999986	0	1
336.6414	0.236	stimulation	36	11.0	0.13453000000001974	0.18165000000004283	0	0
342.8748	0.2693	stimulation	37	11.0	0.17253000000003066	0.21882999999998598	0	0
348.0916	0.2526	stimulation	38	11.0	0.163629999999991	0.200589999999986	0	0
354.1917	0.2526	stimulation	39	11.0	0.20862999999995008	0.211069999999986	0	1
358.5084	0.2693	stimulation	40	11.0	0.17483000000002175	0.21316000000001772	0	1
363.0418	0.2526	stimulation	41	11.0	0.1726299999999487	0.206659999999986	0	0
368.7252	0.2193	stimulation	42	11.0	0.1325300000000102	0.16988000000004283	0	0
374.642	0.2359	stimulation	43	11.0	0.156629999999986	0.187549999999986	0	1
