onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
11.872	0.3527	pretest	1	0.0	n/a	0.3032500000000004	1	1
21.0555	0.336	pretest	2	0.0	n/a	0.28553000000000256	1	1
27.2889	0.2693	pretest	3	0.0	n/a	0.22663999999999684	1	1
34.2724	0.2193	pretest	4	0.0	n/a	0.169330000000004	1	1
40.2058	0.2193	pretest	5	0.0	n/a	0.1703199999999969	1	1
44.3892	0.2693	pretest	6	0.0	n/a	0.22599999999999687	1	1
51.0059	0.236	pretest	7	0.0	n/a	0.183560000000004	1	1
56.7727	0.236	pretest	8	0.0	n/a	0.1913599999999969	1	1
61.2561	0.236	pretest	9	0.0	n/a	0.18686999999999976	1	1
65.6562	0.2693	pretest	10	0.0	n/a	0.21759999999999596	1	1
71.0063	0.2026	pretest	11	0.0	n/a	0.16221000000000776	1	1
74.973	0.236	pretest	12	0.0	n/a	0.19442999999999688	1	1
79.0564	0.2359	pretest	13	0.0	n/a	0.18999999999999687	1	1
82.7231	0.2026	pretest	14	0.0	n/a	0.1543799999999969	1	1
86.1398	0.2193	pretest	15	0.0	n/a	0.1769600000000002	1	1
89.2565	0.2193	pretest	16	0.0	n/a	0.17939999999999595	1	1
92.3566	0.236	pretest	17	0.0	n/a	0.18243999999999688	1	1
96.94	0.1026	pretest	18	0.0	n/a	0.061949999999996896	1	1
102.5734	0.2027	pretest	19	0.0	n/a	0.1550999999999969	1	1
106.3734	0.2027	pretest	20	0.0	n/a	0.1621800000000002	1	1
109.8068	0.236	pretest	21	0.0	n/a	0.1838800000000002	1	1
113.7902	0.2027	pretest	22	0.0	n/a	0.1515099999999969	1	1
117.3736	0.2193	pretest	23	0.0	n/a	0.1672300000000002	1	1
121.507	0.2027	pretest	24	0.0	n/a	0.16089000000000023	1	1
126.2071	0.2193	pretest	25	0.0	n/a	0.17946999999999688	1	1
129.5071	0.3027	pretest	26	0.0	n/a	0.25456999999998603	1	1
133.8572	0.2193	pretest	27	0.0	n/a	0.17543999999998267	1	1
137.8906	0.2193	pretest	28	0.0	n/a	0.173089999999986	1	1
141.424	0.2193	pretest	29	0.0	n/a	0.17469999999998267	1	1
