onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
11.8399	0.5694	pretest	1	0.0	n/a	0.5205800000000002	1	1
14.7233	0.3693	pretest	2	0.0	n/a	0.3244700000000005	1	1
20.6567	0.2693	pretest	3	0.0	n/a	0.2296400000000004	1	1
25.5235	0.2526	pretest	4	0.0	n/a	0.20957000000000045	1	1
29.5735	0.3027	pretest	5	0.0	n/a	0.2545699999999998	1	1
33.6736	0.2693	pretest	6	0.0	n/a	0.2173999999999992	1	1
38.5403	0.2527	pretest	7	0.0	n/a	0.19756999999999875	1	1
43.2071	0.3193	pretest	8	0.0	n/a	0.26548000000000066	1	1
46.7405	0.2193	pretest	9	0.0	n/a	0.17125000000000068	1	1
50.4072	0.286	pretest	10	0.0	n/a	0.23169999999999358	1	1
54.5239	0.236	pretest	11	0.0	n/a	0.1938200000000007	1	1
58.3239	0.2027	pretest	12	0.0	n/a	0.15288999999999595	1	1
62.5907	0.2526	pretest	13	0.0	n/a	0.20504000000000067	1	1
65.974	0.3194	pretest	14	0.0	n/a	0.2768399999999969	1	1
69.9574	0.236	pretest	15	0.0	n/a	0.19643999999999687	1	1
72.9908	0.3527	pretest	16	0.0	n/a	0.2983000000000078	1	1
76.8409	0.3026	pretest	17	0.0	n/a	0.2552999999999936	1	1
79.9576	0.2693	pretest	18	0.0	n/a	0.2257399999999936	1	1
85.2744	0.2193	pretest	19	0.0	n/a	0.17162000000000446	1	1
89.8411	0.236	pretest	20	0.0	n/a	0.1957900000000078	1	1
93.6412	0.2193	pretest	21	0.0	n/a	0.17069000000000778	1	1
96.7745	0.286	pretest	22	0.0	n/a	0.23664999999999692	1	1
101.7913	0.2859	pretest	23	0.0	n/a	0.24262999999999357	1	1
105.1247	0.3193	pretest	24	0.0	n/a	0.26834999999999265	1	1
109.5914	0.2693	pretest	25	0.0	n/a	0.2164100000000078	1	1
113.3414	0.3027	pretest	26	0.0	n/a	0.2575600000000111	1	1
117.3582	0.2526	pretest	27	0.0	n/a	0.2078100000000078	1	1
121.5082	0.3027	pretest	28	0.0	n/a	0.24851000000000162	1	1
128.3084	0.2859	pretest	29	0.0	n/a	0.23076999999998415	1	1
131.9751	0.2693	pretest	30	0.0	n/a	0.22718000000000782	1	1
154.5754	0.2527	stimulation	1	6.0	0.11832999999999354	0.19725000000001108	0	1
163.7422	0.2526	stimulation	2	6.0	0.13542999999999278	0.21213000000001112	0	1
169.809	0.2859	stimulation	3	6.0	0.16442999999998914	0.23986000000001112	0	0
176.7424	0.2526	stimulation	4	6.0	0.16843000000000824	0.2004800000000078	0	1
181.4758	0.236	stimulation	5	6.0	0.17553000000001656	0.1858600000000111	0	1
187.6926	0.2193	stimulation	6	6.0	0.10743000000000118	0.1756300000000111	0	1
194.4927	0.1526	stimulation	7	6.0	0.041329999999995364	0.10984999999997935	0	0
200.3094	0.2694	stimulation	8	6.0	0.159529999999997	0.2275899999999827	0	1
206.2095	0.2027	stimulation	9	6.0	0.09442999999999595	0.1499900000000111	0	0
213.0096	0.2526	stimulation	10	6.0	0.14752999999999655	0.1962299999999827	0	1
218.243	0.2193	stimulation	11	6.0	0.13183000000001538	0.17756999999999742	0	1
222.6598	0.2026	stimulation	12	6.0	0.10033000000002128	0.15959000000001108	0	1
227.8432	0.2193	stimulation	13	6.0	0.11643000000001573	0.1749400000000111	0	1
232.9433	0.2026	stimulation	14	6.0	0.16282999999999287	0.16154000000001112	1	1
237.5933	0.186	stimulation	15	6.0	0.07743000000000004	0.1343200000000111	0	1
242.4934	0.1859	stimulation	16	6.0	0.0854299999999814	0.14506999999998269	0	1
247.4435	0.2526	stimulation	17	6.0	0.15143000000001233	0.20169000000001108	0	1
252.8769	0.2026	stimulation	18	6.0	0.1105299999999904	0.15896999999998598	0	1
256.6769	0.1694	stimulation	19	6.0	0.062530000000017	0.118019999999986	0	1
262.0437	0.2026	stimulation	20	6.0	0.10853000000000927	0.1578000000000111	0	1
266.3771	0.1693	stimulation	21	6.0	0.07133000000002492	0.12731000000003623	0	0
271.8605	0.186	stimulation	22	6.0	0.07253000000000791	0.13041999999998602	0	0
277.1439	0.186	stimulation	23	6.0	0.09383000000000445	0.14176000000002437	0	1
283.394	0.186	stimulation	24	6.0	0.07573000000000045	0.13010000000001773	0	0
289.8941	0.1526	stimulation	25	6.0	0.05353000000000246	0.1083400000000111	0	1
294.5442	0.1859	stimulation	26	6.0	0.08943000000002892	0.1451100000000111	0	0
300.2442	0.186	stimulation	27	6.0	0.09553000000003246	0.13972000000004284	0	1
305.811	0.186	stimulation	28	6.0	0.08043000000001437	0.1394000000000111	0	0
311.3278	0.1859	stimulation	29	6.0	0.08142999999999072	0.14123999999995426	0	1
317.4112	0.1693	stimulation	30	6.0	0.06643000000000436	0.12032000000001111	0	0
324.0113	0.186	stimulation	31	6.0	0.084730000000015	0.142619999999969	0	1
329.3947	0.186	stimulation	32	6.0	0.07043000000002346	0.1338100000000111	0	0
334.3115	0.2026	stimulation	33	6.0	0.10632999999999308	0.15978999999997937	0	0
338.8282	0.2193	stimulation	34	6.0	0.11443000000000618	0.1699300000000111	0	0
344.8116	0.1859	stimulation	35	6.0	0.08352999999997517	0.1369600000000111	0	0
350.5284	0.2192	stimulation	36	6.0	0.10633000000004993	0.1629500000000111	0	1
356.1784	0.2193	stimulation	37	6.0	0.11452999999998108	0.175409999999986	0	1
361.7785	0.186	stimulation	38	6.0	0.08852999999997062	0.141949999999986	0	0
367.762	0.1859	stimulation	39	6.0	0.09043000000000527	0.1409200000000111	0	1
372.4287	0.1859	stimulation	40	6.0	0.08453000000000836	0.1449800000000111	0	0
377.3288	0.1859	stimulation	41	6.0	0.07942999999998117	0.13972000000001109	0	0
383.0455	0.2026	stimulation	42	6.0	0.08953000000000381	0.1495200000000111	0	1
