onset	duration	trial_type	trial	intensity	latency	rt	pressed_first	agency
10.4675	0.2693	pretest	1	0.0	n/a	0.21711000000000022	1	1
14.0175	0.236	pretest	2	0.0	n/a	0.1861600000000002	1	1
18.7676	0.2193	pretest	3	0.0	n/a	0.17093999999999665	1	1
21.8677	0.3026	pretest	4	0.0	n/a	0.2539500000000007	1	1
25.4177	0.236	pretest	5	0.0	n/a	0.19104999999999878	1	1
29.6844	0.2193	pretest	6	0.0	n/a	0.163269999999999	1	1
32.7845	0.2193	pretest	7	0.0	n/a	0.16637999999999598	1	1
37.3846	0.2026	pretest	8	0.0	n/a	0.157260000000004	1	1
40.9013	0.2193	pretest	9	0.0	n/a	0.1755600000000007	1	1
45.6847	0.2026	pretest	10	0.0	n/a	0.159040000000004	1	1
48.7181	0.2359	pretest	11	0.0	n/a	0.18093999999999688	1	1
53.3181	0.2027	pretest	12	0.0	n/a	0.1557500000000002	1	1
57.7349	0.2026	pretest	13	0.0	n/a	0.15375999999999357	1	1
61.985	0.2026	pretest	14	0.0	n/a	0.15854000000000168	1	1
66.585	0.2026	pretest	15	0.0	n/a	0.14948000000000022	1	1
71.1518	0.1859	pretest	16	0.0	n/a	0.1414900000000111	1	1
74.9185	0.2192	pretest	17	0.0	n/a	0.1658700000000111	1	1
78.0019	0.2359	pretest	18	0.0	n/a	0.18563999999999595	1	1
81.3519	0.2193	pretest	19	0.0	n/a	0.1788499999999969	1	1
85.2353	0.2026	pretest	20	0.0	n/a	0.15026000000000778	1	1
89.452	0.2193	pretest	21	0.0	n/a	0.17266999999999688	1	1
93.6521	0.2692	pretest	22	0.0	n/a	0.22760999999999687	1	1
98.1688	0.1859	pretest	23	0.0	n/a	0.1415399999999969	1	1
101.1355	0.2693	pretest	24	0.0	n/a	0.2143100000000111	1	1
104.7856	0.2526	pretest	25	0.0	n/a	0.21128999999999076	1	1
111.3023	0.2026	pretest	26	0.0	n/a	0.1569000000000002	1	1
114.9191	0.2192	pretest	27	0.0	n/a	0.17118999999999687	1	1
118.5358	0.2193	pretest	28	0.0	n/a	0.1695300000000111	1	1
123.2025	0.186	pretest	29	0.0	n/a	0.14167999999999595	1	1
126.1026	0.2692	pretest	30	0.0	n/a	0.21676000000000778	1	1
145.3862	1.886	stimulation	1	10.0	0.12053000000000973	1.8400100000000112	0	0
153.103	0.2026	stimulation	2	10.0	0.13942999999998346	0.15364999999998266	0	1
157.7197	0.236	stimulation	3	10.0	0.1576300000000192	0.1917800000000144	0	1
162.8031	0.236	stimulation	4	10.0	0.15643000000000779	0.1951100000000111	0	1
167.7699	0.2193	stimulation	5	10.0	0.1204300000000064	0.17101999999998269	0	0
173.7033	0.2193	stimulation	6	10.0	0.16052999999997336	0.17209999999998268	0	1
178.7867	0.2193	stimulation	7	10.0	0.15053000000001088	0.1594300000000111	0	1
182.6868	0.2026	stimulation	8	10.0	0.10743000000000118	0.1624199999999827	0	0
